Dimension, Value, Description
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Type of occupation","DENT","dentistry personnel"
"Type of occupation","NURS","nursing and midwifery personnel"
"Type of occupation","PHAR","pharmaceutical personnel"
"Type of occupation","PHYS","physicians"
"Units","PER_100000_LIVE_BIRTHS","Per 100,000 live births"
"Units","PER_1000_POP","Per 1,000 population"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","INDEX","Index"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PER_1000_POP","Per 1,000 population"
"Units","PERCENT","Percentage"
"Units","PER_100000_POP","Per 100,000 population"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PER_1000_POP","Per 1,000 population"
"Units","PER_1000_POP","Per 1,000 population"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PER_100000_POP","Per 100,000 population"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","PER_100000_POP","Per 100,000 population"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PER_1000_LIVE_BIRTHS","Per 1,000 live births"
"Units","PER_1000_POP","Per 1,000 population"
"Units","PER_100000_POP","Per 100,000 population"
"Units","CON_USD","Constant USD"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PERCENT","Percentage"
"Units","PROBABILITY","Probability"
"Units","NUMBER","Number"
"Units","PER_1000_LIVE_BIRTHS","Per 1,000 live births"
"Units","NUMBER","Number"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PER_1000_UNINFECTED_POP","Per 1,000 uninfected population"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PER_100000_POP","Per 100,000 population"
"Units","PER_100000_LIVE_BIRTHS","Per 100,000 live births"
"Units","PER_1000_POP","Per 1,000 population"
"Units","CON_USD","Constant USD"
"Units","PER_1000_LIVE_BIRTHS","Per 1,000 live births"
"Units","PER_1000_POP","Per 1,000 population"
"Units","LTPUREAL","Litres pure alcohol"
"Units","PER_100000_POP","Per 100,000 population"
"Units","NUMBER","Number"
