Dimension,Value,Description
"Hazard type","ALLUV","Alluvion"
"Hazard type","ANIAK","Animal Attack"
"Hazard type","AVALE","Avalanche"
"Hazard type","BIOGL","Biological"
"Hazard type","CHESP","Chemical Spill"
"Hazard type","COSER","Coastal Erosion"
"Hazard type","COSFL","Coastal Flood"
"Hazard type","COLDW","Cold Wave"
"Hazard type","CSOLD","Consolidate"
"Hazard type","CONTM","Contamination"
"Hazard type","CYCLN","Cyclone"
"Hazard type","DFRST","Deforestation"
"Hazard type","DROUG","Drought"
"Hazard type","DZUD","Dzud"
"Hazard type","ERQAK","Earthquake"
"Hazard type","ELEST","Electric Storm"
"Hazard type","EPIDM","Epidemics"
"Hazard type","EPIZT","Epizootic"
"Hazard type","EROSN","Erosion"
"Hazard type","EXPLN","Explosion"
"Hazard type","EXTEM","Extreme Temperature"
"Hazard type","FIREX","Fire"
"Hazard type","FLSFL","Flash Flood"
"Hazard type","FLOOD","Flood"
"Hazard type","FOGXX","Fog"
"Hazard type","FRZRN","Freezing Rain"
"Hazard type","FROST","Frost"
"Hazard type","GLCFL","Glacial Lake Outburst Flood"
"Hazard type","HAILS","Hailstorm"
"Hazard type","HETWA","Heat Wave"
"Hazard type","HEVRN","Heavy Rain"
"Hazard type","INFET","Insect Infestation"
"Hazard type","INTOX","Intoxication"
"Hazard type","LAHAR","Lahar"
"Hazard type","LNDRG","Land Degradation"
"Hazard type","LNDSL","Landslide"
"Hazard type","LIQFN","Liquefaction"
"Hazard type","NUCIN","Nuclear Incident"
"Hazard type","OTHER","Other"
"Hazard type","PANIC","Panic"
"Hazard type","PEATX","Peat"
"Hazard type","PESTX","Pest"
"Hazard type","PLGUE","Plague"
"Hazard type","POLUT","Pollution"
"Hazard type","SANDS","Sand Storm"
"Hazard type","SEDMN","Sedimentation"
"Hazard type","SNSTM","Snowstorm"
"Hazard type","STORM","Storm"
"Hazard type","STCOL","Structural Collapse"
"Hazard type","STUCK","Stuck"
"Hazard type","SUBSD","Subsidence"
"Hazard type","TECHH","Technological Hazard"
"Hazard type","TORND","Tornado"
"Hazard type","TSUNM","Tsunami"
"Hazard type","VOLER","Volcanic Eruption"
"Hazard type","WLDFR","Wild Fire"
"Hazard type","WNDST","Windstorm"
"Hazard type","ACIDT","ACCIDENT"
"Hazard type","ACIDR","ACIDRAIN"
"Hazard type","ALLUV","Alluvion"
"Hazard type","ANIAK","Animal Attack"
"Hazard type","AVALE","Avalanche"
"Hazard type","BIOGL","Biological"
"Hazard type","CHESP","Chemical Spill"
"Hazard type","COSER","Coastal Erosion"
"Hazard type","COSFL","Coastal Flood"
"Hazard type","COLDW","Cold Wave"
"Hazard type","CSOLD","Consolidate"
"Hazard type","CONTM","Contamination"
"Hazard type","CYCLN","Cyclone"
"Hazard type","DFRST","Deforestation"
"Hazard type","DROUG","Drought"
"Hazard type","DZUD","Dzud"
"Hazard type","ERQAK","Earthquake"
"Hazard type","ELEST","Electric Storm"
"Hazard type","EPIDM","Epidemics"
"Hazard type","EPIZT","Epizootic"
"Hazard type","EROSN","Erosion"
"Hazard type","EXPLN","Explosion"
"Hazard type","EXTEM","Extreme Temperature"
"Hazard type","FIREX","Fire"
"Hazard type","FLSFL","Flash Flood"
"Hazard type","FLOOD","Flood"
"Hazard type","FOGXX","Fog"
"Hazard type","FRZRN","Freezing Rain"
"Hazard type","FROST","Frost"
"Hazard type","GLCFL","Glacial Lake Outburst Flood"
"Hazard type","HAILS","Hailstorm"
"Hazard type","HETWA","Heat Wave"
"Hazard type","HEVRN","Heavy Rain"
"Hazard type","INFET","Insect Infestation"
"Hazard type","INTOX","Intoxication"
"Hazard type","LAHAR","Lahar"
"Hazard type","LNDRG","Land Degradation"
"Hazard type","LNDSL","Landslide"
"Hazard type","LIQFN","Liquefaction"
"Hazard type","NUCIN","Nuclear Incident"
"Hazard type","OTHER","Other"
"Hazard type","PANIC","Panic"
"Hazard type","PEATX","Peat"
"Hazard type","PESTX","Pest"
"Hazard type","PLGUE","Plague"
"Hazard type","POLUT","Pollution"
"Hazard type","SANDS","Sand Storm"
"Hazard type","SEDMN","Sedimentation"
"Hazard type","SNSTM","Snowstorm"
"Hazard type","STORM","Storm"
"Hazard type","STCOL","Structural Collapse"
"Hazard type","STUCK","Stuck"
"Hazard type","SUBSD","Subsidence"
"Hazard type","TECHH","Technological Hazard"
"Hazard type","TORND","Tornado"
"Hazard type","TSUNM","Tsunami"
"Hazard type","VOLER","Volcanic Eruption"
"Hazard type","WLDFR","Wild Fire"
"Hazard type","WNDST","Windstorm"
"Hazard type","ACIDT","ACCIDENT"
"Hazard type","ACIDR","ACIDRAIN"
"Hazard type","ALLUV","Alluvion"
"Hazard type","ANIAK","Animal Attack"
"Hazard type","AVALE","Avalanche"
"Hazard type","BIOGL","Biological"
"Hazard type","CHESP","Chemical Spill"
"Hazard type","COSER","Coastal Erosion"
"Hazard type","COSFL","Coastal Flood"
"Hazard type","COLDW","Cold Wave"
"Hazard type","CSOLD","Consolidate"
"Hazard type","CONTM","Contamination"
"Hazard type","CYCLN","Cyclone"
"Hazard type","DFRST","Deforestation"
"Hazard type","DROUG","Drought"
"Hazard type","DZUD","Dzud"
"Hazard type","ERQAK","Earthquake"
"Hazard type","ELEST","Electric Storm"
"Hazard type","EPIDM","Epidemics"
"Hazard type","EPIZT","Epizootic"
"Hazard type","EROSN","Erosion"
"Hazard type","EXPLN","Explosion"
"Hazard type","EXTEM","Extreme Temperature"
"Hazard type","FIREX","Fire"
"Hazard type","FLSFL","Flash Flood"
"Hazard type","FLOOD","Flood"
"Hazard type","FOGXX","Fog"
"Hazard type","FRZRN","Freezing Rain"
"Hazard type","FROST","Frost"
"Hazard type","GLCFL","Glacial Lake Outburst Flood"
"Hazard type","HAILS","Hailstorm"
"Hazard type","HETWA","Heat Wave"
"Hazard type","HEVRN","Heavy Rain"
"Hazard type","INFET","Insect Infestation"
"Hazard type","INTOX","Intoxication"
"Hazard type","LAHAR","Lahar"
"Hazard type","LNDRG","Land Degradation"
"Hazard type","LNDSL","Landslide"
"Hazard type","LIQFN","Liquefaction"
"Hazard type","NUCIN","Nuclear Incident"
"Hazard type","OTHER","Other"
"Hazard type","PANIC","Panic"
"Hazard type","PEATX","Peat"
"Hazard type","PESTX","Pest"
"Hazard type","PLGUE","Plague"
"Hazard type","POLUT","Pollution"
"Hazard type","SANDS","Sand Storm"
"Hazard type","SEDMN","Sedimentation"
"Hazard type","SNSTM","Snowstorm"
"Hazard type","STORM","Storm"
"Hazard type","STCOL","Structural Collapse"
"Hazard type","STUCK","Stuck"
"Hazard type","SUBSD","Subsidence"
"Hazard type","TECHH","Technological Hazard"
"Hazard type","TORND","Tornado"
"Hazard type","TSUNM","Tsunami"
"Hazard type","VOLER","Volcanic Eruption"
"Hazard type","WLDFR","Wild Fire"
"Hazard type","WNDST","Windstorm"
"Hazard type","ACIDT","ACCIDENT"
"Hazard type","ACIDR","ACIDRAIN"
"Hazard type","ALLUV","Alluvion"
"Hazard type","ANIAK","Animal Attack"
"Hazard type","AVALE","Avalanche"
"Hazard type","BIOGL","Biological"
"Hazard type","CHESP","Chemical Spill"
"Hazard type","COSER","Coastal Erosion"
"Hazard type","COSFL","Coastal Flood"
"Hazard type","COLDW","Cold Wave"
"Hazard type","CSOLD","Consolidate"
"Hazard type","CONTM","Contamination"
"Hazard type","CYCLN","Cyclone"
"Hazard type","DFRST","Deforestation"
"Hazard type","DROUG","Drought"
"Hazard type","DZUD","Dzud"
"Hazard type","ERQAK","Earthquake"
"Hazard type","ELEST","Electric Storm"
"Hazard type","EPIDM","Epidemics"
"Hazard type","EPIZT","Epizootic"
"Hazard type","EROSN","Erosion"
"Hazard type","EXPLN","Explosion"
"Hazard type","EXTEM","Extreme Temperature"
"Hazard type","FIREX","Fire"
"Hazard type","FLSFL","Flash Flood"
"Hazard type","FLOOD","Flood"
"Hazard type","FOGXX","Fog"
"Hazard type","FRZRN","Freezing Rain"
"Hazard type","FROST","Frost"
"Hazard type","GLCFL","Glacial Lake Outburst Flood"
"Hazard type","HAILS","Hailstorm"
"Hazard type","HETWA","Heat Wave"
"Hazard type","HEVRN","Heavy Rain"
"Hazard type","INFET","Insect Infestation"
"Hazard type","INTOX","Intoxication"
"Hazard type","LAHAR","Lahar"
"Hazard type","LNDRG","Land Degradation"
"Hazard type","LNDSL","Landslide"
"Hazard type","LIQFN","Liquefaction"
"Hazard type","NUCIN","Nuclear Incident"
"Hazard type","OTHER","Other"
"Hazard type","PANIC","Panic"
"Hazard type","PEATX","Peat"
"Hazard type","PESTX","Pest"
"Hazard type","PLGUE","Plague"
"Hazard type","POLUT","Pollution"
"Hazard type","SANDS","Sand Storm"
"Hazard type","SEDMN","Sedimentation"
"Hazard type","SNSTM","Snowstorm"
"Hazard type","STORM","Storm"
"Hazard type","STCOL","Structural Collapse"
"Hazard type","STUCK","Stuck"
"Hazard type","SUBSD","Subsidence"
"Hazard type","TECHH","Technological Hazard"
"Hazard type","TORND","Tornado"
"Hazard type","TSUNM","Tsunami"
"Hazard type","VOLER","Volcanic Eruption"
"Hazard type","WLDFR","Wild Fire"
"Hazard type","WNDST","Windstorm"
"Hazard type","ACIDT","ACCIDENT"
"Hazard type","ACIDR","ACIDRAIN"
"Hazard type","ALLUV","Alluvion"
"Hazard type","ANIAK","Animal Attack"
"Hazard type","AVALE","Avalanche"
"Hazard type","BIOGL","Biological"
"Hazard type","CHESP","Chemical Spill"
"Hazard type","COSER","Coastal Erosion"
"Hazard type","COSFL","Coastal Flood"
"Hazard type","COLDW","Cold Wave"
"Hazard type","CSOLD","Consolidate"
"Hazard type","CONTM","Contamination"
"Hazard type","CYCLN","Cyclone"
"Hazard type","DFRST","Deforestation"
"Hazard type","DROUG","Drought"
"Hazard type","DZUD","Dzud"
"Hazard type","ERQAK","Earthquake"
"Hazard type","ELEST","Electric Storm"
"Hazard type","EPIDM","Epidemics"
"Hazard type","EPIZT","Epizootic"
"Hazard type","EROSN","Erosion"
"Hazard type","EXPLN","Explosion"
"Hazard type","EXTEM","Extreme Temperature"
"Hazard type","FIREX","Fire"
"Hazard type","FLSFL","Flash Flood"
"Hazard type","FLOOD","Flood"
"Hazard type","FOGXX","Fog"
"Hazard type","FRZRN","Freezing Rain"
"Hazard type","FROST","Frost"
"Hazard type","GLCFL","Glacial Lake Outburst Flood"
"Hazard type","HAILS","Hailstorm"
"Hazard type","HETWA","Heat Wave"
"Hazard type","HEVRN","Heavy Rain"
"Hazard type","INFET","Insect Infestation"
"Hazard type","INTOX","Intoxication"
"Hazard type","LAHAR","Lahar"
"Hazard type","LNDRG","Land Degradation"
"Hazard type","LNDSL","Landslide"
"Hazard type","LIQFN","Liquefaction"
"Hazard type","NUCIN","Nuclear Incident"
"Hazard type","OTHER","Other"
"Hazard type","PANIC","Panic"
"Hazard type","PEATX","Peat"
"Hazard type","PESTX","Pest"
"Hazard type","PLGUE","Plague"
"Hazard type","POLUT","Pollution"
"Hazard type","SANDS","Sand Storm"
"Hazard type","SEDMN","Sedimentation"
"Hazard type","SNSTM","Snowstorm"
"Hazard type","STORM","Storm"
"Hazard type","STCOL","Structural Collapse"
"Hazard type","STUCK","Stuck"
"Hazard type","SUBSD","Subsidence"
"Hazard type","TECHH","Technological Hazard"
"Hazard type","TORND","Tornado"
"Hazard type","TSUNM","Tsunami"
"Hazard type","VOLER","Volcanic Eruption"
"Hazard type","WLDFR","Wild Fire"
"Hazard type","WNDST","Windstorm"
"Location","RURAL","Rural"
"Location","ALLAREA","All areas"
"Location","URBAN","Urban"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Units","PERCENT","Percentage"
"Units","PER_100000_POP","Per 100,000 population"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","CU_USD","USD"
"Units","CU_USD_M","millions of current United States dollars"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","INDEX","Index"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","CU_USD_M","millions of current United States dollars"
"Units","CU_USD_M","millions of current United States dollars"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","PERCENT","Percentage"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","PERCENT","Percentage"
"Units","PER_100000_POP","Per 100,000 population"
"Units","NUMBER","Number"
"Units","NUMBER","Number"
"Units","CU_USD_M","millions of current United States dollars"
"Units","CU_USD_M","millions of current United States dollars"
"Units","CU_USD_M","millions of current United States dollars"
"Units","CU_USD_M","millions of current United States dollars"
"Units","CU_USD_M","millions of current United States dollars"
