Dimension, Value, Description
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Education level","GRAD23","grades 2/3"
"Education level","LOWSEC","lower secondary"
"Education level","PRIMAR","primary"
"Education level","PREPRI","pre-primary"
"Education level","SECOND","secondary"
"Education level","UPPSEC","upper secondary"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Freq","ANNUAL","Annual"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Location","ALLAREA","All areas"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Sex","FEMALE","Female"
"Sex","MALE","Male"
"Sex","BOTHSEX","Both"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","CMFL","Copying or moving a file or folder"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","CMFL","Copying or moving a file or folder"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","CMFL","Copying or moving a file or folder"
"Type of skill","CMFL","Copying or moving a file or folder"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","CMFL","Copying or moving a file or folder"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
"Type of skill","COPA","using copy and paste tools to duplicate or move information within a document"
"Type of skill","EMAIL","sending e-mails with attached files"
"Type of skill","EPRS","creating electronic presentations with presentation software"
"Type of skill","INST","connecting and installing new devices"
"Type of skill","PCPR","writing a computer program using a specialized programming language"
"Type of skill","SOFT","finding, downloading, installing and configuring software"
"Type of skill","TRAF","transferring files between a computer and other devices"
"Type of skill","LITE","literacy"
"Type of skill","NUME","numeracy"
"Type of skill","ARSP","using basic arithmetic formula in a spreadsheet"
